Playbook Play ,,Provider,RN,MA,PSR,Extra MA,OM ,Notes ,
"3 RN 
5 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
5 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"1 RN 
5 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"0 RN 
5 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"3 RN 
4 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
4 MAs",Priority Task,,VM/msgs,Rooming,"check in/out patients
scheduling","1 cross trained MA shift to PSR
Other MA complete tasks assigned by OM. Can request to go home early if they have their hours or PTO available",,1:1 Rooming,
,Secondary Task,,Assist roomers when prompted,"Assist other roomers
forms and records
restocking","workqueues
proactive calls to NPs
schedule overdue patients",Assist roomers,,,
,Tertiary Task ,,"PAs, forms, other personal duties as assigned",Assist scheduling patient due for WCC,other tasks assigned by OM,downtime list,,,
"1 RN 
4 MAs",Priority Task,,VM/msgs,rooming,"check in/out patients
scheduling","1 cross trained MA shift to PSR
Other MA complete tasks assigned by OM. Can request to go home early if they have their hours or PTO available",,1:1 Rooming,
,Secondary Task,,assist roomers when prompted,"Assist other roomers
forms and records
restocking","workqueues
proactive calls to NPs
schedule overdue patients",Assist roomers,,,
,Tertiary Task ,,"PAs, forms, other personal duties as assigned",Assist scheduling patient due for WCC,other tasks assigned by OM,downtime list,,,
"0 RN 
4 MAs",Priority Task,,,Rooming,"check in/out patients
scheduling","1 MA send VM and Mychart triage to docs
1 cross trained MA shift to PSR",,1:1 Rooming,
,Secondary Task,,,"Assist other roomers
forms and records
restocking","workqueues
proactive calls to NPs
schedule overdue patients",Assist roomers,,,
,Tertiary Task ,,,Assist scheduling patient due for WCC,other tasks assigned by OM,downtime list,,,
"3 RN 
3 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
3 MAs
",Priority Task,,VM/msgs,"rooming
","Checkin/out patients
Scheduling",Cross trained MA shift to PSR,,"1:1 rooming
If a doc is out unexpectedly then calling and rescheduling is a priority. ",
,Secondary Task,,Assisting in Clinic as requested by Roomers or Providers,"Assisting other Roomers
Forms and records
Restocking","workqueues
Proactive calls to NP's,
Schedule overdue patients",Assist roomers,,,
