Play ,,Provider,RN,MA,PSR,Extra MA,OM ,Notes ,
"3 RN 
5 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
5 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"1 RN 
5 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"0 RN 
5 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"3 RN 
4 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
4 MAs",Primary Task,,Triage/Mychart msgs,Rooming Patients,Check/inout patients,Cross trained MA shift to PSR,,1:1 rooming,
,Secondary Task,,Assist Roomers when prompted,"Assist other roomers
Assist PSRs when understaffed if possible
","workqueues
Proactive calls to NP's,
Schedule overdue patients",Assist Roomers if prompted,,,
,Tertiary Task ,,"PAs, forms, other duties as assigned",,,"Forms and records
downtime list",,,
"1 RN 
4 MAs",Primary Task,,Triage/Mychart msgs,Rooming patients,Check in/out patients,Cross trained MA shift to PSR,,1:1 rooming,
,Secondary Task,,Assist Roomers when prompted. ,"Assist other Roomers 
Assist PSR when understaffed if possible","Workqueues
Proactive calls to NPs
Schedule overdue patients",Assist Roomers if prompted,,,
,Tertiary Task ,,"PAs forms, other personal duties as assigned
downtime list","Forms and records
Restocking
Downtime list",other tasks assigned by OM,"Forms and records
downtime list",,,
"0 RN 
4 MAs",Primary Task,See Patients,,Rooming patients,Check in/out patients,Extra MA check triage VM and send messages to doctors.,,"1:1 rooming
PSRs note to families requesting triage that they will be leaving a VM, If they communicate increased concern or urgency attempt to reach a provider in office. ",
,Secondary Task,Management duties,,"Assist other Roomers 
Assist PSR when understaffed if possible","Workqueues
Proactive calls to NPs
Schedule overdue patients",Assist PSRs if VM/triage line is empty,,,
,Tertiary Task ,,,"Forms and records
Restocking
Downtime list",other tasks assigned by OM,,,,
"3 RN 
3 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"2 RN 
3 MAs
",Primary Task,"See Patients
","Triage/Mychart msgs
","Rooming patients
 ","Checkin/out patients
Scheduling",,,"1:1 Rooming

If PSRs are understaffed it is OK to shift one RN to rooming and a Cross trained MA to PSR as primary task",
,Secondary Task,Management duties,Assist Roomers when prompted. ,"Assist other Roomers.
Assist PSR when understaffed if possible
","workqueues
Proactive calls to NPs,
Schedule overdue patients",,,,
,Tertiary Task ,,"PAs; forms; 
other personal duties as assigned
Downtime list","Forms and records
Restocking
Downtime list",other assigned tasks by OM,,,,
"1 RN 
3 MAs
",Primary Task,See Patients,"Triage/Mychart msgs
","Rooming patients
 ","Checkin/out patients
Scheduling",,,1:1 Rooming,
,Secondary Task,Assist triage if RN is unable,AssistRoomerwhen prompted. ,"Assist other Roomer s
Assist PSR when understaffed if possible","workqueues
Proactive calls to NP's,
Schedule overdue patients",,,,
,Tertiary Task ,Management duties,"PAs; forms; 
other personal duties as assigned
Downtime list","Forms and records
Restocking
Downtime list",other assigned tasks by OM/  ,,,,
